YEAR_COL,PER_ANNUAL_GDP_INDIA_COL,PER_ANNUAL_GDP_CHINA_COL,PER_ANNUAL_GDP_USA_COL,DOLLAR_ANNUAL_GDP_INDIA_COL,DOLLAR_ANNUAL_GDP_CHINA_COL,DOLLAR_ANNUAL_GDP_USA_COL,CURRENT_ACCOUNT_BALANCE_CHINA_COL,CURRENT_ACCOUNT_BALANCE_INDIA_COL,CURRENT_ACCOUNT_BALANCE_USA_COL,FDI_PERCENT_GDP_CHINA_COL,FDI_PERCENT_GDP_INDIA_COL,FDI_PERCENT_GDP_USA_COL,FDI_OUTFLOW_DOLLAR_BOP_CHINA_COL,FDI_OUTFLOW_DOLLAR_BOP_INDIA_COL,FDI_OUTFLOW_DOLLAR_BOP_USA_COL
1960,3.722742533,-27.27,2.3,37029883875,59716467625,5.43E+11,,,,,,,,,
1961,2.931127737,-5.57999999,6.1,39232435784,50056868958,5.63E+11,,,,,,,,,
